sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,24,,良好,0.5,0.13,19.4,13,11,5,2.9,4.9,2,2.3,115,"2022/09/29 11:00:00",0.1,7,16,0,121.760056,25.129167,1
汐止,新北市,24,,良好,0.3,0.11,17.2,6.8,9,5,5.2,9,3.7,2,29,"2022/09/29 11:00:00",0.1,7,13,0,121.6423,25.067131,2
萬里,新北市,23,,良好,0.2,0.1,20.2,8.7,17,4,3.6,6.5,2.8,3.1,77,"2022/09/29 11:00:00",0.1,7,18,0,121.689881,25.179667,3
新店,新北市,13,,良好,0.6,0.14,25.4,11.7,4,0,3.3,5.3,2,2.4,129,"2022/09/29 11:00:00",0.2,4,8,0,121.537778,24.977222,4
土城,新北市,16,,良好,0.5,0.25,35.1,9.8,13,3,8.2,11.1,2.8,1.1,67,"2022/09/29 11:00:00",0.3,4,16,0,121.451861,24.982528,5
板橋,新北市,23,,良好,1.2,0.24,31.2,12.1,13,6,9.3,12.8,3.5,1.5,65,"2022/09/29 11:00:00",0.2,7,13,1,121.458667,25.012972,6
新莊,新北市,30,,良好,0.5,0.28,31.8,12.5,20,8,11.2,15,3.8,2.3,67,"2022/09/29 11:00:00",0.2,9,23,0,121.4325,25.037972,7
菜寮,新北市,27,,良好,0.7,0.22,25.1,11.9,19,5,10.8,14.9,4,1.6,315,"2022/09/29 11:00:00",0.2,8,16,0,121.481028,25.06895,8
林口,新北市,29,,良好,1.3,0.15,,8.9,,12,7.4,11,3.6,1.2,332,"2022/09/29 11:00:00",0.1,8,14,0,121.376869,25.077197,9
淡水,新北市,23,,良好,0.9,0.12,26.7,14.5,14,5,3.9,5.6,1.7,,,"2022/09/29 11:00:00",0.1,7,13,0,121.449239,25.1645,10
士林,臺北市,21,,良好,,,28.4,15.4,,4,,,,2.1,140,"2022/09/29 11:00:00",0.1,6,11,0,121.51666356,25.10334003,11
